# control_vectors -- generated by tools/gen_control_table.py
# 639 vectors (519 legal, 120 illegal)
# columns: inst packed  [decoded fields]  source
00000033 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x0, x0, x0
01ff8fb3 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x31, x31, x31
01a60733 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x14, x12, x26
01c786b3 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x13, x15, x28
00e38833 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x16, x7, x14
012b0533 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x10, x22, x18
00f00bb3 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x23, x0, x15
00718bb3 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x23, x3, x7
00018133 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x2, x3, x0
019305b3 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x11, x6, x25
00138c33 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x24, x7, x1
00628833 00000041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=0  # add x16, x5, x6
40000033 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x0, x0, x0
41ff8fb3 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x31, x31, x31
40aa86b3 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x13, x21, x10
402a0733 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x14, x20, x2
40688fb3 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x31, x17, x6
419e0933 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x18, x28, x25
40d705b3 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x11, x14, x13
41100a33 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x20, x0, x17
41738b33 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x22, x7, x23
40528b33 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x22, x5, x5
404e0033 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x0, x28, x4
40b98fb3 00400041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=1  # sub x31, x19, x11
00001033 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x0, x0, x0
01ff9fb3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x31, x31, x31
00a39533 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x10, x7, x10
00111ab3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x21, x2, x1
008e9333 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x6, x29, x8
014a16b3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x13, x20, x20
01d29533 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x10, x5, x29
011b1933 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x18, x22, x17
011b11b3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x3, x22, x17
01f01db3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x27, x0, x31
00829bb3 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x23, x5, x8
010b1b33 00800041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=2  # sll x22, x22, x16
00002033 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x0, x0, x0
01ffafb3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x31, x31, x31
01b822b3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x5, x16, x27
00c02fb3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x31, x0, x12
0002a833 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x16, x5, x0
00a0ac33 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x24, x1, x10
01232ab3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x21, x6, x18
00322133 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x2, x4, x3
002a20b3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x1, x20, x2
01f72c33 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x24, x14, x31
00f929b3 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x19, x18, x15
01fcaf33 00c00041  reg_we=1 alu_src_a=0 alu_src_b=0 imm_sel=0 alu_class=1 mem_re=0 mem_we=0 wb_sel=0 branch=0 jal=0 jalr=0 csr_en=0 csr_we=0 csr_imm=0 mret=0 ecall=0 ebreak=0 illegal=0 alu_op=3  # slt x30, x25, x31
