# tb_imm_gen vectors -- generated by tools/gen_imm_vectors.py (seed 20260906)
# idx  inst      sel  expected  source
    0  800e0f13  0    fffff800  addi x30, x28, -2048
    1  801d9183  0    fffff801  lh x3, -2047(x27)
    2  80b18b67  0    fffff80b  jalr x22, x3, -2037
    3  80f1ca13  0    fffff80f  xori x20, x3, -2033
    4  82fd4783  0    fffff82f  lbu x15, -2001(x26)
    5  85af0567  0    fffff85a  jalr x10, x30, -1958
    6  869f0893  0    fffff869  addi x17, x30, -1943
    7  887c8c83  0    fffff887  lb x25, -1913(x25)
    8  889a01e7  0    fffff889  jalr x3, x20, -1911
    9  89df4d93  0    fffff89d  xori x27, x30, -1891
   10  8a982e83  0    fffff8a9  lw x29, -1879(x16)
   11  8da50167  0    fffff8da  jalr x2, x10, -1830
   12  8f020593  0    fffff8f0  addi x11, x4, -1808
   13  91d65003  0    fffff91d  lhu x0, -1763(x12)
   14  92e08d67  0    fffff92e  jalr x26, x1, -1746
   15  93244f93  0    fffff932  xori x31, x8, -1742
   16  93929603  0    fffff939  lh x12, -1735(x5)
   17  93dc86e7  0    fffff93d  jalr x13, x25, -1731
   18  94098313  0    fffff940  addi x6, x19, -1728
   19  94a7cb83  0    fffff94a  lbu x23, -1718(x15)
   20  96650be7  0    fffff966  jalr x23, x10, -1690
   21  97e84e93  0    fffff97e  xori x29, x16, -1666
   22  981c0d03  0    fffff981  lb x26, -1663(x24)
   23  983180e7  0    fffff983  jalr x1, x3, -1661
   24  991f0f13  0    fffff991  addi x30, x30, -1647
   25  99b2a403  0    fffff99b  lw x8, -1637(x5)
   26  9a6a0b67  0    fffff9a6  jalr x22, x20, -1626
   27  9ae44b93  0    fffff9ae  xori x23, x8, -1618
   28  9b3d5a83  0    fffff9b3  lhu x21, -1613(x26)
   29  9b6a0fe7  0    fffff9b6  jalr x31, x20, -1610
   30  9c5d0513  0    fffff9c5  addi x10, x26, -1595
   31  9d0c9c83  0    fffff9d0  lh x25, -1584(x25)
   32  9d1988e7  0    fffff9d1  jalr x17, x19, -1583
   33  9d3cc013  0    fffff9d3  xori x0, x25, -1581
   34  9d7a4703  0    fffff9d7  lbu x14, -1577(x20)
   35  9fa50467  0    fffff9fa  jalr x8, x10, -1542
   36  a0690c13  0    fffffa06  addi x24, x18, -1530
   37  a1330983  0    fffffa13  lb x19, -1517(x6)
   38  a4de8e67  0    fffffa4d  jalr x28, x29, -1459
   39  a7cb4f93  0    fffffa7c  xori x31, x22, -1412
   40  a834ad83  0    fffffa83  lw x27, -1405(x9)
   41  a85405e7  0    fffffa85  jalr x11, x8, -1403
   42  a8948493  0    fffffa89  addi x9, x9, -1399
   43  a9c5da83  0    fffffa9c  lhu x21, -1380(x11)
   44  aa720ee7  0    fffffaa7  jalr x29, x4, -1369
   45  ab7e4093  0    fffffab7  xori x1, x28, -1353
   46  abc39f83  0    fffffabc  lh x31, -1348(x7)
   47  ac1d02e7  0    fffffac1  jalr x5, x26, -1343
   48  ad138013  0    fffffad1  addi x0, x7, -1327
   49  adac4b83  0    fffffada  lbu x23, -1318(x24)
   50  b08b04e7  0    fffffb08  jalr x9, x22, -1272
   51  b2144193  0    fffffb21  xori x3, x8, -1247
   52  b3870c83  0    fffffb38  lb x25, -1224(x14)
   53  b5868567  0    fffffb58  jalr x10, x13, -1192
   54  b6c68293  0    fffffb6c  addi x5, x13, -1172
   55  b7702383  0    fffffb77  lw x7, -1161(x0)
   56  b93c8ee7  0    fffffb93  jalr x29, x25, -1133
   57  b9b04813  0    fffffb9b  xori x16, x0, -1125
   58  ba14da03  0    fffffba1  lhu x20, -1119(x9)
   59  bb358d67  0    fffffbb3  jalr x26, x11, -1101
   60  bc990d93  0    fffffbc9  addi x27, x18, -1079
   61  bdfd1e03  0    fffffbdf  lh x28, -1057(x26)
   62  bea40a67  0    fffffbea  jalr x20, x8, -1046
   63  bfdc4f13  0    fffffbfd  xori x30, x24, -1027
   64  bff34083  0    fffffbff  lbu x1, -1025(x6)
   65  c00402e7  0    fffffc00  jalr x5, x8, -1024
   66  c01b8113  0    fffffc01  addi x2, x23, -1023
   67  c54e8403  0    fffffc54  lb x8, -940(x29)
   68  c5608067  0    fffffc56  jalr x0, x1, -938
   69  c64ac313  0    fffffc64  xori x6, x21, -924
   70  c650a203  0    fffffc65  lw x4, -923(x1)
   71  c7b886e7  0    fffffc7b  jalr x13, x17, -901
   72  c7d70a93  0    fffffc7d  addi x21, x14, -899
   73  cbd35283  0    fffffcbd  lhu x5, -835(x6)
   74  ccca0f67  0    fffffccc  jalr x30, x20, -820
   75  cdb6cd93  0    fffffcdb  xori x27, x13, -805
   76  ce499883  0    fffffce4  lh x17, -796(x19)
   77  ced20de7  0    fffffced  jalr x27, x4, -787
   78  cfc50313  0    fffffcfc  addi x6, x10, -772
   79  d1334d83  0    fffffd13  lbu x27, -749(x6)
   80  d2f20a67  0    fffffd2f  jalr x20, x4, -721
   81  d68f4413  0    fffffd68  xori x8, x30, -664
   82  d6ac0683  0    fffffd6a  lb x13, -662(x24)
   83  d6f105e7  0    fffffd6f  jalr x11, x2, -657
   84  d74f8d13  0    fffffd74  addi x26, x31, -652
   85  d79fae83  0    fffffd79  lw x29, -647(x31)
   86  d9720567  0    fffffd97  jalr x10, x4, -617
   87  da3f4b13  0    fffffda3  xori x22, x30, -605
   88  db68de83  0    fffffdb6  lhu x29, -586(x17)
   89  dcf00367  0    fffffdcf  jalr x6, x0, -561
   90  dd6d0013  0    fffffdd6  addi x0, x26, -554
   91  ddd51903  0    fffffddd  lh x18, -547(x10)
   92  dfbd09e7  0    fffffdfb  jalr x19, x26, -517
   93  dffdcd13  0    fffffdff  xori x26, x27, -513
   94  e0044103  0    fffffe00  lbu x2, -512(x8)
   95  e01483e7  0    fffffe01  jalr x7, x9, -511
   96  e08b0413  0    fffffe08  addi x8, x22, -504
   97  e13c0b03  0    fffffe13  lb x22, -493(x24)
   98  e1f00be7  0    fffffe1f  jalr x23, x0, -481
   99  e22c4293  0    fffffe22  xori x5, x24, -478
  100  e25aae03  0    fffffe25  lw x28, -475(x21)
  101  e33509e7  0    fffffe33  jalr x19, x10, -461
  102  e3a48913  0    fffffe3a  addi x18, x9, -454
  103  e5b1de83  0    fffffe5b  lhu x29, -421(x3)
  104  e70082e7  0    fffffe70  jalr x5, x1, -400
  105  e85cc513  0    fffffe85  xori x10, x25, -379
  106  e8a51b03  0    fffffe8a  lh x22, -374(x10)
  107  e8e98ae7  0    fffffe8e  jalr x21, x19, -370
  108  eae20813  0    fffffeae  addi x16, x4, -338
  109  eda4c883  0    fffffeda  lbu x17, -294(x9)
  110  ee0e8de7  0    fffffee0  jalr x27, x29, -288
  111  efde4b13  0    fffffefd  xori x22, x28, -259
  112  eff98683  0    fffffeff  lb x13, -257(x19)
  113  f00e0f67  0    ffffff00  jalr x30, x28, -256
  114  f01c8213  0    ffffff01  addi x4, x25, -255
  115  f2f9ae03  0    ffffff2f  lw x28, -209(x19)
  116  f30104e7  0    ffffff30  jalr x9, x2, -208
  117  f3164993  0    ffffff31  xori x19, x12, -207
  118  f495d703  0    ffffff49  lhu x14, -183(x11)
  119  f7f88fe7  0    ffffff7f  jalr x31, x17, -129
  120  f8020093  0    ffffff80  addi x1, x4, -128
  121  f81a9483  0    ffffff81  lh x9, -127(x21)
  122  f85b8be7  0    ffffff85  jalr x23, x23, -123
  123  f8f4c493  0    ffffff8f  xori x9, x9, -113
  124  fa56c203  0    ffffffa5  lbu x4, -91(x13)
  125  fb0106e7  0    ffffffb0  jalr x13, x2, -80
  126  fb918293  0    ffffffb9  addi x5, x3, -71
  127  fbda8983  0    ffffffbd  lb x19, -67(x21)
  128  fbf10167  0    ffffffbf  jalr x2, x2, -65
  129  fc04cf13  0    ffffffc0  xori x30, x9, -64
  130  fc172283  0    ffffffc1  lw x5, -63(x14)
  131  fc4a8d67  0    ffffffc4  jalr x26, x21, -60
  132  fd118013  0    ffffffd1  addi x0, x3, -47
  133  fdfeda83  0    ffffffdf  lhu x21, -33(x29)
  134  fe090667  0    ffffffe0  jalr x12, x18, -32
  135  fe13c393  0    ffffffe1  xori x7, x7, -31
  136  feff9083  0    ffffffef  lh x1, -17(x31)
  137  ff0a04e7  0    fffffff0  jalr x9, x20, -16
  138  ff1c0193  0    fffffff1  addi x3, x24, -15
  139  ff74c683  0    fffffff7  lbu x13, -9(x9)
  140  ff850ee7  0    fffffff8  jalr x29, x10, -8
  141  ff9b4e93  0    fffffff9  xori x29, x22, -7
  142  ffa90b83  0    fffffffa  lb x23, -6(x18)
  143  ffbf0467  0    fffffffb  jalr x8, x30, -5
  144  ffc08d93  0    fffffffc  addi x27, x1, -4
  145  ffda2303  0    fffffffd  lw x6, -3(x20)
  146  ffef0ee7  0    fffffffe  jalr x29, x30, -2
  147  fff7c393  0    ffffffff  xori x7, x15, -1
  148  000e5a03  0    00000000  lhu x20, 0(x28)
  149  001c0a67  0    00000001  jalr x20, x24, 1
